カテゴリ,難易度,問題,正答,誤答,解説
センサー（地磁気）,1,地磁気センサーはどのような原理を利用しているか？,ホール効果,圧電効果,地磁気センサーは、ホール効果を利用して磁場を測定します。
センサー（地磁気）,1,地磁気センサーがスマートフォンで主に使われる用途はどれか？,コンパス機能,高度計,地磁気センサーはスマートフォンのコンパス機能で使用されます。
センサー（地磁気）,2,地磁気センサーの測定精度に影響を与える要因はどれか？,磁性体の近接,温度変化,磁性体や強い磁場の近くでは正確に測定できなくなる場合があります。
センサー（ｐH）,1,pHセンサーは何を測定する？,水素イオン濃度,酸素イオン濃度,pHセンサは溶液中の水素イオン濃度を測定し、酸性・アルカリ性を示します。
センサー（ｐH）,1,pHセンサでpH7は何を示すか？,中性,酸性,pH7は中性を示し、それより低ければ酸性、高ければアルカリ性です。
センサー（ｐH）,1,pHセンサの使用環境で避けるべき条件はどれか？,高温の溶液,液体の撹拌,高温では電極が劣化しやすく、測定精度が低下します。
センサー（EC）,1,電気伝導度センサは何を測定するか？,液体のイオン濃度,液体の電気抵抗,電気伝導度センサは、溶液中のイオン濃度に応じた電気伝導率を測定します。
センサー（EC）,2,電気伝導度センサの測定単位は何か？,S/m（シーメンス毎メートル）,N/m（ニュートン毎メートル）,電気伝導率の単位はS/mで表されます。
センサー（ORP),1,酸化還元電位（ORP）は溶液の何を測定するか？,電子の受け渡し能力,水素イオン濃度,ORPは溶液中の酸化剤や還元剤の電子授受能力を測定します。
センサー（ORP),2,ORPが高い場合、溶液はどのような性質を持つか？,酸化力が強い,還元力が強い,高いORP値は溶液の酸化力が強いことを示します。
化学,1,次の塩の中で溶解度積が最も大きいものはどれか？,NaCl,BaSO4,NaClは水によく溶ける塩で、溶解度積が大きいです。一方、BaSO4は難溶性塩です。
化学,1,溶解度積 Kspの値が小さいほど、その化合物の溶解度はどうなるか？,小さくなる,大きくなる,溶解度積が小さいほど、その化合物は水に溶けにくいことを意味します。
化学,1,イオン化列は、金属の何に基づいて決定されるか？,酸化還元のしやすさ,電荷の大きさ,イオン化列は、金属が電子を放出して陽イオンになる傾向に基づいています。
化学,1,イオン化列で最もイオン化しやすい金属はどれか？,カリウム (K),銀 (Ag),カリウムは非常にイオン化しやすく、反応性が高い金属です。
化学,2,金属のイオン化傾向が大きいほど、金属はどのような性質を示すか？,還元剤として強い,酸化剤として強い,イオン化傾向が大きい金属は、電子を放出して他の物質を還元する能力が強いです。
電磁気学,1,マクスウェルの方程式はどの分野における基礎方程式か？,電磁気学,熱力学,マクスウェルの方程式は電場と磁場の関係を記述する基本方程式です。
電磁気学,3,マクスウェルの方程式のうち、「電場の発散」を記述しているものはどれか？,ガウスの法則,アンペールの法則,ガウスの法則は、電場の発散が電荷密度に比例することを示します。
電磁気学,2,マクスウェルの方程式は、何の存在を予測したか？,電磁波,重力波,マクスウェルの方程式は、電場と磁場が交互に伝播する電磁波の存在を予測しました。
電磁気学,3,マクスウェルの方程式は、真空中の光速 cと、どの物理量の関係を示すか？,真空の誘電率と透磁率,電場の大きさ,光速は、真空の誘電率 と透磁率によって決定されます。
電磁気学,3,フェルミ準位は何を表すか？,電子が存在する確率が50%となるエネルギー準位,電子の全エネルギーの合計,フェルミ準位は、統計的に電子が占有する確率が50%となるエネルギー準位を示します。
電磁気学,3,半導体でフェルミ準位が伝導帯側に近い場合、その半導体の性質は？,n型,p型,フェルミ準位が伝導帯側に近い場合、電子が主なキャリアとなるn型半導体です。
電磁気学,2,フェルミ準位が絶縁体ではどの位置にあるか？,禁制帯内の中央付近,伝導帯内,絶縁体ではフェルミ準位は禁制帯内の中央に位置します。
電磁気学,2,金属のフェルミ準位が示すのは？,最外殻電子のエネルギー状態,電子の運動量分布,金属では、フェルミ準位は自由電子のエネルギー分布に関連しています。
分光学,2,紫外-可視分光法（UV-Vis）は何を測定するか？,分子の吸収スペクトル,原子核のスピン状態,UV-Visは、分子が特定の波長の光を吸収する際のスペクトルを測定します。
分光学,2,赤外分光法（IR）はどのような分子の動きを検出するか？,分子の振動や回転,電子遷移,IRは分子内の振動や回転エネルギー準位を測定します。
分光学,1,分光法で得られるスペクトルのピーク位置は、何に依存するか？,分子の構造や結合エネルギー,試料濃度,スペクトルのピーク位置は、分子の結合エネルギーや構造に依存します。
分光学,1,紫外線は赤外線に比べて波長が？,短い,長い,紫外線は赤外線よりも波長が短く、高エネルギーの光です。
分光学,1,紫外線が物質に与える主な影響は？,化学結合を切断する,熱を発生させる,紫外線はエネルギーが高く、分子の結合を切断することがあります。
分光学,1,紫外線は、次のどの種類の放射線に含まれるか？,電磁波,粒子線,紫外線は電磁波の一種であり、波として伝播します。
量子学,3,量子化学において、パウリの排他原理が意味することは何か？,1つのオービタルに2つまでの電子が入る,すべての電子は同じエネルギー準位を持つ,パウリの排他原理により、同じ量子状態を持つ電子が同時に存在することはできません。
量子学,3,分子軌道法では、分子全体の電子状態をどのように計算するか？,原子軌道の線形結合,電子間の衝突計算,分子軌道法では、原子軌道を線形結合して分子軌道を構築します。
量子学,2,量子化学の基本的な方程式はどれか？,シュレーディンガー方程式,マクスウェル方程式,シュレーディンガー方程式は、量子化学の基礎となる方程式です。
量子学,3,量子力学において、ハイゼンベルクの不確定性原理は何を示しているか？,位置と運動量を同時に正確に測定できない,すべての物理量は決定論的である,不確定性原理は、量子系の位置と運動量を同時に完全に決定できないことを表します。
量子学,2,光の粒子性を示す現象はどれか？,光電効果,干渉,光電効果は、光が粒子（光子）として振る舞うことを示しています。
量子学,2,量子力学で、エネルギーが連続的ではなく離散的である現象を何と呼ぶか？,エネルギーの量子化,エネルギーの拡散,エネルギーが特定の値のみを取る現象をエネルギーの量子化と呼びます。
量子学,3,波動関数の絶対値の2乗は何を表すか？,粒子が存在する確率,粒子の運動速度,波動関数の絶対値の2乗は、粒子が空間内の特定の位置に存在する確率密度を示します。
モーメント,1,慣性モーメントは物体のどの性質を表すか？,回転に対する抵抗,直線運動に対する抵抗,慣性モーメントは、物体の回転運動に対する抵抗の大きさを示します。
モーメント,2,慣性モーメントはどの物理量に比例するか？,質量と距離の2乗,質量と距離の3乗,慣性モーメントは、物体の質量と回転軸からの距離の2乗に比例します。
モーメント,1,モーメントの単位は？,N・m（ニュートンメートル）,kg・m/s^2,モーメントの単位は、力（N）×距離（m）で表されます。
放射化学,1,放射線の中で、紙で遮蔽可能なものは？,α線,γ線,α線は紙やアルミ箔で簡単に遮蔽されます。
放射化学,1,放射線の単位「シーベルト（Sv）」は何を表すか？,放射線の人体への影響,放射線のエネルギー量,シーベルトは、放射線が人体に与える生物学的影響を示す単位です。
放射化学,1,放射性崩壊における半減期とは？,放射性物質の量が半分になる時間,放射線のエネルギーが半分になる時間,半減期は、放射性物質がその量の半分に減少するまでの時間を指します。
放射化学,1,放射線を遮蔽する際、鉛が使用される主な理由は？,高い密度でγ線を吸収しやすい,電気を通しやすい,鉛は高密度であり、特にγ線の遮蔽に効果的です。
